"Id","Y1","Y2","Y3","Y4","Y5","T1","T2","T3","T4","T5","X1","gr"
1,1,1,1,0,0,1,2,3,4,5,0.03,1
2,1,1,1,0,0,1,2,3,4,5,0.45,1
3,0,0,1,1,1,1,2,3,4,5,0.5,2
4,0,1,1,1,1,1,2,3,4,5,0.62,2
5,1,1,1,0,0,1,2,3,4,5,0.99,1
6,1,1,1,0,0,1,2,3,4,5,0,1
7,0,0,1,1,1,1,2,3,4,5,0.84,2
8,0,1,1,1,1,1,2,3,4,5,0.69,2
9,0,1,1,1,1,1,2,3,4,5,0.53,2
10,0,1,1,1,1,1,2,3,4,5,0.84,2
11,1,1,1,0,0,1,2,3,4,5,0.95,1
12,0,1,1,1,1,1,2,3,4,5,0.53,2
13,1,1,1,0,0,1,2,3,4,5,0.82,1
14,1,1,1,0,0,1,2,3,4,5,0.03,1
15,1,1,1,0,0,1,2,3,4,5,0.52,1
16,0,0,1,1,1,1,2,3,4,5,0.82,2
17,1,1,1,0,0,1,2,3,4,5,0.48,1
18,1,1,1,0,0,1,2,3,4,5,0.33,1
19,1,1,1,0,0,1,2,3,4,5,0.79,1
20,1,1,1,0,0,1,2,3,4,5,0.86,1
21,1,1,1,0,0,1,2,3,4,5,0.57,1
22,0,0,1,1,1,1,2,3,4,5,0.36,2
23,1,1,1,0,0,1,2,3,4,5,0.06,1
24,1,1,1,0,0,1,2,3,4,5,0.34,1
25,1,1,1,0,0,1,2,3,4,5,0.24,1
26,1,1,1,0,0,1,2,3,4,5,0.09,1
27,1,1,1,0,0,1,2,3,4,5,0.92,1
28,0,0,1,1,1,1,2,3,4,5,0.23,2
29,0,0,1,1,1,1,2,3,4,5,0.67,2
30,0,1,1,1,1,1,2,3,4,5,0.98,2
31,1,0,1,1,1,1,2,3,4,5,0.03,2
32,1,1,1,0,0,1,2,3,4,5,0.9,1
33,1,1,1,0,0,1,2,3,4,5,0.99,1
34,1,1,1,0,0,1,2,3,4,5,0.04,1
35,1,1,1,0,0,1,2,3,4,5,0.07,1
36,1,1,1,0,0,1,2,3,4,5,0.34,1
37,0,0,1,1,1,1,2,3,4,5,0.28,2
38,1,1,1,0,0,1,2,3,4,5,0.43,1
39,0,1,1,1,1,1,2,3,4,5,0.05,2
40,0,0,1,1,1,1,2,3,4,5,0.5,2
41,1,1,1,0,0,1,2,3,4,5,0.32,1
42,0,1,1,1,1,1,2,3,4,5,0.26,2
43,1,0,1,1,1,1,2,3,4,5,0.99,2
44,0,0,1,1,1,1,2,3,4,5,0.9,2
45,1,1,1,0,0,1,2,3,4,5,0.79,1
46,1,1,1,0,0,1,2,3,4,5,0.42,1
47,1,1,1,0,0,1,2,3,4,5,0.32,1
48,1,1,1,0,0,1,2,3,4,5,0.2,1
49,1,0,1,1,1,1,2,3,4,5,0.02,2
50,1,1,1,0,0,1,2,3,4,5,0.14,1
