"Id","Y1","Y2","Y3","Y4","Y5","T1","T2","T3","T4","T5","X1","W1","W2","W3","W4","W5","gr"
1,0,5,0,10,0,1,2,3,4,5,0.79,1,0,1,0,0,1
2,2,3,1,1,0,1,2,3,4,5,0.57,0,0,1,0,0,2
3,0,3,0,6,2,1,2,3,4,5,0.54,0,0,0,0,0,2
4,3,0,0,0,3,1,2,3,4,5,0.98,1,1,1,1,1,2
5,3,0,0,9,0,1,2,3,4,5,0.19,1,1,1,1,1,1
6,5,11,7,0,0,1,2,3,4,5,0.19,1,1,1,0,1,1
7,3,6,9,9,0,1,2,3,4,5,0.1,0,0,1,1,1,1
8,4,5,0,13,14,1,2,3,4,5,0.28,0,0,1,0,0,1
9,0,3,3,0,1,1,2,3,4,5,0.44,1,1,1,1,1,2
10,6,12,6,7,9,1,2,3,4,5,0.99,0,0,1,0,1,1
11,4,3,0,0,0,1,2,3,4,5,0.33,1,1,1,1,1,2
12,6,6,10,7,0,1,2,3,4,5,0.04,0,1,1,1,0,1
13,0,3,3,4,2,1,2,3,4,5,0.24,0,0,1,0,0,2
14,3,3,1,4,2,1,2,3,4,5,0.24,0,1,1,0,1,2
15,6,6,10,0,10,1,2,3,4,5,0.28,0,0,0,1,1,1
16,2,1,0,2,4,1,2,3,4,5,0.27,0,1,1,0,1,2
17,0,0,2,2,4,1,2,3,4,5,0.58,1,1,1,0,1,2
18,4,8,0,16,8,1,2,3,4,5,0.97,0,1,1,1,1,1
19,7,7,2,6,10,1,2,3,4,5,0.59,0,0,1,0,0,1
20,6,0,6,8,9,1,2,3,4,5,0.15,1,1,0,0,0,1
21,6,0,0,0,7,1,2,3,4,5,0.18,1,0,0,1,1,1
22,5,0,3,1,4,1,2,3,4,5,0.53,0,0,0,1,1,2
23,1,0,0,0,3,1,2,3,4,5,0.22,1,0,1,1,0,2
24,0,3,3,2,4,1,2,3,4,5,0.41,0,0,0,1,1,2
25,6,0,3,0,0,1,2,3,4,5,0.63,0,0,0,0,1,1
26,4,1,0,3,2,1,2,3,4,5,0.59,0,0,0,1,1,2
27,0,0,12,9,14,1,2,3,4,5,0.11,0,0,1,0,1,1
28,4,5,11,0,8,1,2,3,4,5,0.94,1,0,0,0,1,1
29,7,1,3,2,4,1,2,3,4,5,0.4,1,0,0,1,0,2
30,2,4,3,6,5,1,2,3,4,5,0.38,1,1,0,1,1,2
31,2,0,0,3,0,1,2,3,4,5,0.78,1,0,0,1,0,2
32,2,11,10,8,0,1,2,3,4,5,1,1,0,1,0,0,1
33,5,6,6,9,0,1,2,3,4,5,0.38,1,1,1,1,1,1
34,1,1,0,0,0,1,2,3,4,5,0.45,1,1,0,1,0,2
35,0,0,0,9,4,1,2,3,4,5,0.57,0,0,0,1,0,1
36,0,6,0,7,0,1,2,3,4,5,0.52,0,0,1,0,0,1
37,2,0,0,4,0,1,2,3,4,5,0.74,1,0,1,0,0,2
38,6,0,0,7,9,1,2,3,4,5,0.35,1,1,1,1,1,1
39,6,0,0,0,0,1,2,3,4,5,0.62,1,0,0,1,0,1
40,2,3,3,2,4,1,2,3,4,5,0.67,0,1,1,0,0,2
41,0,7,11,10,0,1,2,3,4,5,0.25,1,1,1,0,0,1
42,8,7,7,10,13,1,2,3,4,5,0.22,0,1,0,1,0,1
43,3,4,2,1,1,1,2,3,4,5,0.59,0,0,0,1,0,2
44,1,2,0,0,2,1,2,3,4,5,0.28,1,0,0,0,0,2
45,0,0,0,2,1,1,2,3,4,5,0.77,0,0,1,0,1,2
46,0,5,14,9,6,1,2,3,4,5,0.24,1,0,0,0,1,1
47,2,5,4,4,7,1,2,3,4,5,0.71,1,0,1,1,1,2
48,0,2,1,5,0,1,2,3,4,5,0.97,1,1,1,0,0,2
49,0,10,11,10,5,1,2,3,4,5,0.64,1,1,0,0,0,1
50,7,6,0,8,0,1,2,3,4,5,0.7,1,0,1,1,1,1
